genes troughs peaks
AT5G24580 ZT8 ZT0
AT5G24380 ZT8 ZT4
AT5G24000 ZT4 ZT20
AT5G24010 ZT4 ZT16
AT5G24030 ZT12 ZT4
AT5G24120 ZT16 ZT0
AT5G24150 ZT16 ZT4
AT5G24170 ZT8 ZT0
AT5G24210 ZT8 ZT12
AT5G24165 ZT8 ZT16
AT5G24270 ZT4 ZT16
AT5G24300 ZT20 ZT12
AT5G24330 ZT20 ZT8
AT5G23810 ZT0 ZT8
AT5G23740 ZT20 ZT4
AT5G23540 ZT0 ZT8
AT5G23730 ZT8 ZT0
AT5G23660 ZT4 ZT16
AT5G23920 ZT8 ZT12
AT5G23760 ZT8 ZT0
AT5G23380 ZT8 ZT0
AT5G23310 ZT0 ZT12
AT5G23250 ZT0 ZT12
AT5G23300 ZT0 ZT12
AT5G23340 ZT8 ZT0
AT5G23480 ZT0 ZT12
AT5G23460 ZT12 ZT0
AT5G23520 ZT0 ZT16
AT5G23570 ZT0 ZT8
unknown_439 ZT4 ZT0
AT5G23610 ZT4 ZT20
AT5G23210 ZT4 ZT16
AT5G23240 ZT0 ZT12
AT5G22840 ZT20 ZT12
AT5G22875 ZT12 ZT0
AT5G22920 ZT12 ZT0
AT5G23010 ZT0 ZT8
AT5G23020 ZT16 ZT12
AT5G23050 ZT4 ZT16
AT5G23080 ZT12 ZT0
AT5G23130 ZT4 ZT0
AT5G23070 ZT20 ZT12
AT5G23120 ZT8 ZT0
AT5G23060 ZT8 ZT0
AT5G23150 ZT12 ZT0
AT5G22890 ZT12 ZT4
AT5G22940 ZT8 ZT0
AT5G22310 ZT12 ZT16
AT5G22570 ZT0 ZT12
AT5G22580 ZT20 ZT8
AT5G22500 ZT0 ZT4
AT5G22530 ZT0 ZT16
AT5G22650 ZT0 ZT4
AT5G22720 ZT8 ZT20
AT5G22850 ZT12 ZT20
AT5G22880 ZT0 ZT12
AT5G19250 ZT0 ZT8
AT5G19260 ZT8 ZT0
AT5G19120 ZT12 ZT0
AT5G19280 ZT8 ZT0
AT5G19150 ZT12 ZT0
AT5G19180 ZT8 ZT0
AT5G22340 ZT4 ZT0
AT5G22390 ZT8 ZT0
AT5G22300 ZT16 ZT4
AT5G22290 ZT16 ZT4
AT5G22440 ZT20 ZT8
AT5G19200 ZT8 ZT0
AT5G18920 ZT20 ZT12
AT5G18970 ZT12 ZT0
AT5G19000 ZT8 ZT0
AT5G19020 ZT4 ZT12
AT5G19040 ZT20 ZT4
unknown_442 ZT0 ZT12
AT5G18820 ZT0 ZT12
AT5G18470 ZT0 ZT16
AT5G18490 ZT4 ZT20
AT5G18525 ZT4 ZT8
AT5G18540 ZT4 ZT8
AT5G18590 ZT0 ZT8
AT5G18600 ZT12 ZT0
AT5G18580 ZT8 ZT16
AT5G18650 ZT8 ZT0
AT5G18680 ZT0 ZT8
AT5G18750 ZT20 ZT8
AT5G18760 ZT0 ZT4
AT5G18660 ZT0 ZT12
AT5G18670 ZT8 ZT0
AT5G18630 ZT12 ZT0
AT5G18440 ZT0 ZT8
AT5G18060 ZT12 ZT0
AT5G17990 ZT0 ZT12
AT5G18140 ZT8 ZT0
AT5G18150 ZT8 ZT0
AT5G18210 ZT4 ZT12
AT5G18270 ZT16 ZT4
AT5G18290 ZT8 ZT16
AT5G18090 ZT16 ZT4
AT5G18250 ZT8 ZT12
AT5G18130 ZT0 ZT8
AT5G18200 ZT8 ZT0
AT5G18120 ZT4 ZT0
AT5G18170 ZT12 ZT0
AT5G18110 ZT12 ZT0
AT5G18430 ZT8 ZT0
AT5G17700 ZT0 ZT8
AT5G17790 ZT0 ZT4
AT5G17850 ZT4 ZT8
AT5G17660 ZT12 ZT4
AT5G17760 ZT4 ZT12
AT5G17880 ZT4 ZT16
AT5G17890 ZT8 ZT16
AT5G17170 ZT8 ZT12
AT5G17310 ZT8 ZT0
AT5G17670 ZT12 ZT0
AT5G16650 ZT8 ZT0
AT5G17240 ZT0 ZT8
AT5G17290 ZT8 ZT0
AT5G17360 ZT8 ZT0
AT5G17230 ZT8 ZT0
AT5G17190 ZT20 ZT12
AT5G17280 ZT4 ZT0
AT5G17350 ZT12 ZT0
AT5G17300 ZT12 ZT0
AT5G15330 ZT8 ZT0
AT5G15230 ZT4 ZT16
AT5G15350 ZT12 ZT0
unknown_446 ZT8 ZT0
AT5G16470 ZT8 ZT16
AT5G16520 ZT12 ZT0
AT5G16480 ZT12 ZT0
AT5G16380 ZT0 ZT8
AT5G16540 ZT8 ZT0
AT5G16510 ZT0 ZT12
AT5G16400 ZT12 ZT0
AT5G14620 ZT4 ZT0
AT5G14640 ZT8 ZT4
AT5G14680 ZT4 ZT0
AT5G14530 ZT4 ZT0
AT5G14710 ZT4 ZT16
AT5G15120 ZT12 ZT0
AT5G15160 ZT16 ZT4
AT5G15180 ZT16 ZT8
AT5G15190 ZT16 ZT8
AT5G15200 ZT20 ZT12
AT5G15210 ZT12 ZT0
AT5G15240 ZT20 ZT8
AT5G15250 ZT16 ZT4
AT5G15300 ZT4 ZT12
AT5G14390 ZT4 ZT0
AT5G14420 ZT8 ZT0
AT5G14430 ZT12 ZT0
AT5G14450 ZT0 ZT12
AT5G14460 ZT0 ZT8
AT5G14510 ZT12 ZT0
AT5G14240 ZT4 ZT0
AT5G14370 ZT4 ZT20
AT5G14250 ZT0 ZT12
AT5G14410 ZT12 ZT0
AT5G14270 ZT0 ZT8
AT5G14520 ZT20 ZT8
AT5G14540 ZT4 ZT0
AT5G14550 ZT0 ZT8
AT5G14580 ZT0 ZT12
AT5G13980 ZT4 ZT20
AT5G13930 ZT8 ZT20
AT5G14030 ZT0 ZT16
AT5G13880 ZT16 ZT12
AT5G14080 ZT12 ZT0
AT5G14090 ZT4 ZT20
AT5G14120 ZT12 ZT0
AT5G14220 ZT4 ZT16
AT5G14050 ZT0 ZT8
AT5G13840 ZT0 ZT12
AT5G13850 ZT0 ZT12
AT5G13420 ZT12 ZT4
AT5G13630 ZT16 ZT4
AT5G13680 ZT0 ZT12
AT5G13720 ZT4 ZT20
AT5G13740 ZT8 ZT16
AT5G13760 ZT8 ZT0
AT5G13610 ZT0 ZT8
AT5G13750 ZT0 ZT12
AT5G13640 ZT16 ZT0
AT5G13710 ZT4 ZT16
AT5G13730 ZT0 ZT12
AT5G13770 ZT8 ZT0
AT5G13400 ZT12 ZT0
AT5G13410 ZT12 ZT0
AT5G12930 ZT0 ZT8
unknown_451 ZT0 ZT8
AT5G12940 ZT0 ZT12
AT5G13200 ZT0 ZT8
AT5G13270 ZT4 ZT12
unknown_453 ZT8 ZT12
AT5G11910 ZT4 ZT16
AT5G12110 ZT20 ZT4
AT5G12220 ZT20 ZT8
AT5G12230 ZT4 ZT0
AT5G12210 ZT4 ZT0
AT5G12130 ZT0 ZT4
AT5G12200 ZT4 ZT16
AT5G12840 ZT16 ZT0
AT5G12850 ZT16 ZT0
AT5G12080 ZT16 ZT4
AT5G12050 ZT12 ZT0
AT5G11780 ZT0 ZT8
AT5G11690 ZT8 ZT0
AT5G11650 ZT8 ZT0
AT5G11790 ZT0 ZT4
AT5G11670 ZT0 ZT8
AT5G11950 ZT8 ZT16
AT5G12010 ZT8 ZT0
AT5G11630 ZT20 ZT12
AT5G11700 ZT12 ZT4
AT5G11710 ZT12 ZT4
AT5G11730 ZT4 ZT12
AT5G11740 ZT0 ZT8
AT5G11380 ZT8 ZT20
AT5G11300 ZT0 ZT8
AT5G11460 ZT16 ZT4
AT5G11560 ZT0 ZT12
AT5G11610 ZT0 ZT8
AT5G11580 ZT0 ZT8
AT5G11500 ZT8 ZT20
AT5G11520 ZT4 ZT12
unknown_457 ZT20 ZT4
AT5G10980 ZT0 ZT16
AT5G10740 ZT4 ZT12
AT5G10940 ZT8 ZT20
AT5G10920 ZT0 ZT4
AT5G10790 ZT0 ZT8
AT5G10870 ZT0 ZT12
AT5G10930 ZT16 ZT4
AT5G11010 ZT20 ZT4
AT5G11150 ZT4 ZT8
AT5G11240 ZT20 ZT8
AT5G11250 ZT0 ZT12
AT5G11260 ZT8 ZT20
AT5G10840 ZT20 ZT12
unknown_458 ZT20 ZT12
AT5G10550 ZT0 ZT12
AT5G10460 ZT8 ZT0
AT5G10400 ZT0 ZT12
AT5G10390 ZT0 ZT12
AT5G10380 ZT12 ZT20
AT5G10450 ZT8 ZT0
AT5G10490 ZT8 ZT12
AT5G10760 ZT0 ZT12
AT5G10820 ZT4 ZT8
AT5G09830 ZT4 ZT20
AT5G09810 ZT0 ZT4
AT5G09850 ZT8 ZT16
AT5G10010 ZT0 ZT8
AT5G10030 ZT12 ZT20
AT5G10170 ZT4 ZT20
AT5G10190 ZT4 ZT20
AT5G10250 ZT12 ZT0
AT5G10290 ZT8 ZT16
AT5G10320 ZT12 ZT20
AT5G09990 ZT16 ZT4
AT5G09760 ZT8 ZT0
AT5G09790 ZT8 ZT0
AT5G09800 ZT4 ZT16
AT5G09660 ZT8 ZT20
AT5G09590 ZT20 ZT12
AT5G09820 ZT4 ZT16
AT5G09840 ZT20 ZT8
AT5G09920 ZT4 ZT16
AT5G09960 ZT4 ZT16
AT5G09620 ZT0 ZT12
AT5G08260 ZT4 ZT12
AT5G08500 ZT4 ZT8
AT5G08510 ZT0 ZT12
AT5G08570 ZT0 ZT4
AT5G08610 ZT0 ZT12
AT5G08650 ZT12 ZT4
AT5G08640 ZT8 ZT12
AT5G08535 ZT4 ZT20
AT5G08565 ZT20 ZT12
AT5G08620 ZT16 ZT4
AT5G08580 ZT0 ZT8
AT5G08270 ZT0 ZT4
AT5G08160 ZT0 ZT12
AT5G08180 ZT0 ZT4
AT5G08100 ZT4 ZT20
AT5G08120 ZT4 ZT12
AT5G07860 ZT4 ZT12
AT5G07900 ZT0 ZT8
AT5G08020 ZT0 ZT4
AT5G08030 ZT16 ZT4
AT5G08050 ZT16 ZT4
AT5G08000 ZT4 ZT12
AT5G08070 ZT8 ZT0
AT5G08130 ZT0 ZT4
AT5G07910 ZT4 ZT12
AT5G07300 ZT16 ZT0
AT5G07580 ZT4 ZT16
AT5G07500 ZT12 ZT20
AT5G07690 ZT16 ZT4
AT5G07730 ZT20 ZT8
AT5G07820 ZT16 ZT4
AT5G07370 ZT4 ZT16
AT5G07270 ZT16 ZT0
AT5G07220 ZT8 ZT0
AT5G07340 ZT0 ZT12
AT5G07360 ZT4 ZT12
AT5G07460 ZT0 ZT12
AT5G07530 ZT20 ZT8
AT5G07180 ZT16 ZT4
AT5G06780 ZT4 ZT0
AT5G06720 ZT12 ZT0
AT5G06690 ZT4 ZT8
AT5G06970 ZT16 ZT4
AT5G07000 ZT12 ZT0
AT5G06980 ZT16 ZT0
AT5G07090 ZT20 ZT12
AT5G07130 ZT20 ZT12
AT5G06260 ZT0 ZT8
AT5G06540 ZT20 ZT12
AT5G06550 ZT20 ZT8
AT5G06570 ZT8 ZT20
AT5G06610 ZT4 ZT12
AT5G06530 ZT8 ZT0
AT5G06560 ZT4 ZT0
AT5G06710 ZT12 ZT4
AT5G06790 ZT8 ZT20
AT5G06800 ZT12 ZT0
AT5G06810 ZT0 ZT12
AT5G06830 ZT0 ZT8
AT5G06360 ZT20 ZT8
AT5G06265 ZT8 ZT16
AT5G06340 ZT12 ZT0
AT5G05920 ZT0 ZT8
AT5G06110 ZT20 ZT4
AT5G06130 ZT4 ZT20
AT5G06140 ZT12 ZT0
AT5G06460 ZT0 ZT4
AT5G06370 ZT4 ZT0
AT5G05740 ZT4 ZT12
AT5G05790 ZT8 ZT0
AT5G05800 ZT12 ZT0
AT5G05840 ZT0 ZT8
AT5G05890 ZT20 ZT8
AT5G05690 ZT12 ZT0
AT5G05860 ZT12 ZT0
AT5G05700 ZT12 ZT0
AT5G05750 ZT4 ZT0
AT5G05980 ZT12 ZT20
AT5G06000 ZT20 ZT8
AT5G05990 ZT20 ZT4
AT5G05930 ZT12 ZT0
AT5G05450 ZT12 ZT0
AT5G05460 ZT0 ZT12
AT5G05440 ZT8 ZT0
AT5G05410 ZT0 ZT8
AT5G05480 ZT4 ZT0
AT5G05560 ZT4 ZT12
AT5G05370 ZT4 ZT16
AT5G04980 ZT16 ZT4
AT5G05140 ZT8 ZT0
AT5G05090 ZT0 ZT8
unknown_472 ZT4 ZT20
AT5G04940 ZT0 ZT4
AT5G04930 ZT4 ZT12
AT5G05100 ZT4 ZT0
AT5G05200 ZT0 ZT8
AT5G05250 ZT4 ZT16
AT5G04720 ZT4 ZT16
AT5G04910 ZT4 ZT0
AT5G04950 ZT12 ZT4
AT5G04540 ZT12 ZT0
AT5G04490 ZT12 ZT4
AT5G04590 ZT16 ZT4
AT5G04410 ZT0 ZT12
AT5G04670 ZT0 ZT8
AT5G04710 ZT4 ZT16
AT5G04810 ZT4 ZT20
AT5G04790 ZT12 ZT0
AT5G04760 ZT8 ZT0
AT5G04660 ZT16 ZT4
AT5G04770 ZT4 ZT20
AT5G04740 ZT0 ZT16
AT5G03870 ZT20 ZT8
AT5G03905 ZT4 ZT16
AT5G04040 ZT12 ZT0
AT5G04060 ZT16 ZT4
AT5G03910 ZT4 ZT16
AT5G03760 ZT16 ZT4
AT5G03560 ZT8 ZT0
AT5G03430 ZT4 ZT16
AT5G03300 ZT0 ZT12
AT5G03340 ZT0 ZT8
AT5G03650 ZT0 ZT4
AT5G03680 ZT8 ZT20
AT5G03720 ZT0 ZT12
AT5G03730 ZT4 ZT16
AT5G03630 ZT0 ZT12
AT5G03610 ZT4 ZT0
AT5G03660 ZT4 ZT16
AT5G03345 ZT4 ZT0
AT5G03455 ZT4 ZT0
AT5G03440 ZT4 ZT0
AT5G03555 ZT8 ZT0
AT5G03290 ZT4 ZT16
AT5G03160 ZT0 ZT12
unknown_478 ZT12 ZT0
AT5G03120 ZT12 ZT0
AT5G03230 ZT16 ZT0
AT5G03350 ZT20 ZT12
AT5G03380 ZT8 ZT0
AT5G03450 ZT8 ZT16
AT5G03490 ZT8 ZT0
unknown_479 ZT12 ZT0
AT5G03520 ZT12 ZT0
AT5G03190 ZT0 ZT12
AT5G02920 ZT12 ZT0
AT5G02940 ZT0 ZT12
AT5G02890 ZT0 ZT8
AT5G02810 ZT20 ZT8
AT5G02840 ZT8 ZT0
AT5G02870 ZT0 ZT12
AT5G02820 ZT20 ZT8
AT5G03130 ZT12 ZT0
AT5G03140 ZT8 ZT0
AT5G03150 ZT8 ZT0
AT5G02860 ZT0 ZT8
AT5G02290 ZT4 ZT12
AT5G02280 ZT16 ZT4
AT5G02490 ZT0 ZT12
AT5G02500 ZT8 ZT12
AT5G02570 ZT0 ZT12
AT5G02620 ZT0 ZT8
AT5G02650 ZT0 ZT8
AT5G02690 ZT8 ZT20
AT5G02600 ZT16 ZT4
AT5G02480 ZT8 ZT16
AT5G02760 ZT12 ZT4
AT5G02270 ZT8 ZT4
AT5G02150 ZT4 ZT20
AT5G02180 ZT16 ZT4
AT5G02190 ZT0 ZT8
AT5G02230 ZT8 ZT4
AT5G02050 ZT20 ZT12
AT5G02130 ZT0 ZT8
AT5G02120 ZT12 ZT0
AT5G02100 ZT4 ZT16
AT5G02240 ZT4 ZT16
AT5G02020 ZT12 ZT0
AT5G02250 ZT12 ZT0
AT5G02410 ZT0 ZT12
AT5G02430 ZT0 ZT4
AT5G02440 ZT8 ZT0
AT5G01540 ZT8 ZT20
unknown_482 ZT4 ZT16
AT5G01790 ZT0 ZT8
AT5G01810 ZT8 ZT0
AT5G01820 ZT16 ZT0
AT5G01850 ZT0 ZT12
AT5G01880 ZT16 ZT4
AT5G01920 ZT8 ZT0
AT5G01950 ZT0 ZT8
AT5G01740 ZT8 ZT0
AT5G01750 ZT0 ZT8
AT5G01800 ZT4 ZT0
AT5G01970 ZT12 ZT0
AT5G01980 ZT12 ZT0
AT5G01990 ZT16 ZT8
AT5G01520 ZT16 ZT4
AT5G01460 ZT12 ZT0
AT5G01340 ZT8 ZT0
AT5G01350 ZT8 ZT0
AT5G01650 ZT4 ZT16
AT5G01500 ZT0 ZT8
AT5G01610 ZT12 ZT0
AT5G01600 ZT20 ZT4
AT3G63510 ZT0 ZT12
AT3G63420 ZT4 ZT16
AT5G01020 ZT8 ZT0
AT5G01030 ZT12 ZT0
unknown_484 ZT12 ZT0
AT5G01240 ZT4 ZT0
AT5G01300 ZT20 ZT4
AT5G01160 ZT8 ZT0
AT5G01090 ZT8 ZT0
AT5G01075 ZT8 ZT0
AT5G01015 ZT8 ZT0
AT5G01220 ZT0 ZT12
AT5G01210 ZT20 ZT8
AT3G63500 ZT8 ZT0
AT3G63120 ZT8 ZT0
AT3G63170 ZT4 ZT12
AT3G63130 ZT20 ZT4
AT3G63000 ZT8 ZT20
AT3G63110 ZT8 ZT0
AT3G63160 ZT4 ZT12
AT3G63240 ZT4 ZT16
AT3G63290 ZT12 ZT4
AT3G63210 ZT0 ZT8
AT3G63260 ZT8 ZT0
AT3G63250 ZT4 ZT16
AT3G62820 ZT8 ZT0
AT3G62600 ZT0 ZT12
AT3G62630 ZT0 ZT8
AT3G62840 ZT0 ZT12
AT3G62690 ZT20 ZT8
AT3G62590 ZT20 ZT4
AT3G62720 ZT12 ZT0
AT3G62910 ZT0 ZT8
AT3G62930 ZT12 ZT0
AT3G62950 ZT12 ZT0
AT3G62970 ZT8 ZT0
AT3G62980 ZT8 ZT0
AT3G63010 ZT8 ZT0
AT3G63080 ZT4 ZT16
AT3G63090 ZT0 ZT8
AT3G62890 ZT20 ZT8
AT3G62810 ZT0 ZT12
unknown_488 ZT4 ZT20
AT3G62410 ZT4 ZT16
AT3G62550 ZT0 ZT8
AT3G62580 ZT0 ZT12
AT3G62700 ZT0 ZT8
AT3G62740 ZT16 ZT8
unknown_492 ZT0 ZT8
AT3G62780 ZT0 ZT12
unknown_494 ZT4 ZT0
AT3G62060 ZT4 ZT16
AT3G62150 ZT12 ZT0
AT3G62290 ZT8 ZT0
AT3G62080 ZT4 ZT16
AT3G62190 ZT8 ZT0
AT3G62310 ZT20 ZT4
AT3G62370 ZT4 ZT16
AT3G61890 ZT8 ZT0
AT3G61760 ZT0 ZT12
AT3G61630 ZT8 ZT0
AT3G61770 ZT16 ZT4
AT3G61710 ZT4 ZT20
AT3G61820 ZT0 ZT8
AT3G61620 ZT16 ZT4
AT3G61830 ZT8 ZT4
AT3G61920 ZT0 ZT12
AT3G62010 ZT12 ZT4
AT3G61950 ZT0 ZT12
AT3G61880 ZT16 ZT4
AT3G62030 ZT4 ZT20
AT3G61260 ZT12 ZT20
AT3G61130 ZT0 ZT4
AT3G61220 ZT8 ZT4
AT3G61360 ZT0 ZT8
AT3G61530 ZT4 ZT20
AT3G61440 ZT12 ZT0
AT3G61580 ZT12 ZT0
AT3G61430 ZT12 ZT0
unknown_497 ZT16 ZT8
AT3G61590 ZT12 ZT0
AT3G61600 ZT12 ZT0
AT3G60600 ZT8 ZT0
AT3G60830 ZT20 ZT12
AT3G60770 ZT20 ZT4
AT3G11030 ZT4 ZT16
AT3G61070 ZT4 ZT12
AT3G61080 ZT12 ZT0
AT3G61060 ZT12 ZT0
AT3G61160 ZT4 ZT20
AT3G61170 ZT12 ZT0
AT3G61210 ZT12 ZT0
AT3G61250 ZT8 ZT0
AT3G61310 ZT12 ZT0
AT3G61350 ZT8 ZT20
AT3G60450 ZT4 ZT16
AT3G60390 ZT12 ZT8
AT3G60410 ZT4 ZT12
AT3G60810 ZT4 ZT12
AT3G60850 ZT12 ZT0
AT3G60910 ZT8 ZT0
AT3G60880 ZT0 ZT4
AT3G60640 ZT4 ZT16
AT3G60750 ZT0 ZT16
AT3G60420 ZT4 ZT12
AT3G60270 ZT12 ZT4
AT3G60290 ZT12 ZT20
AT3G60300 ZT12 ZT0
AT3G60260 ZT8 ZT16
AT3G60245 ZT0 ZT12
AT3G60250 ZT12 ZT0
AT3G60320 ZT12 ZT20
AT3G60380 ZT0 ZT8
AT3G60540 ZT20 ZT4
AT3G60560 ZT16 ZT0
AT3G60130 ZT4 ZT20
AT3G60190 ZT0 ZT8
AT3G59820 ZT4 ZT8
AT3G59900 ZT12 ZT0
AT3G59950 ZT4 ZT0
AT3G60010 ZT0 ZT8
AT3G59980 ZT4 ZT12
AT3G59940 ZT12 ZT4
AT3G59870 ZT0 ZT8
AT3G59840 ZT0 ZT12
AT3G59920 ZT0 ZT16
AT3G60030 ZT12 ZT20
AT3G60070 ZT12 ZT0
AT3G60080 ZT8 ZT0
unknown_504 ZT0 ZT12
unknown_507 ZT4 ZT12
unknown_508 ZT0 ZT12
AT3G59580 ZT12 ZT4
AT3G59660 ZT4 ZT16
AT3G59670 ZT20 ZT4
AT3G59710 ZT20 ZT8
AT3G59650 ZT0 ZT12
AT3G59760 ZT0 ZT12
AT3G59490 ZT8 ZT0
AT3G59350 ZT4 ZT16
AT3G59060 ZT16 ZT4
AT3G59110 ZT0 ZT8
AT3G59140 ZT16 ZT4
unknown_510 ZT8 ZT0
AT3G59080 ZT12 ZT0
AT3G58970 ZT8 ZT16
unknown_511 ZT4 ZT16
AT3G59400 ZT12 ZT0
AT3G59410 ZT12 ZT4
AT3G58990 ZT16 ZT12
AT3G58570 ZT4 ZT8
AT3G58520 ZT4 ZT12
AT3G58530 ZT4 ZT16
AT3G58660 ZT20 ZT8
AT3G58750 ZT4 ZT16
AT3G58760 ZT4 ZT16
AT3G58830 ZT0 ZT12
AT3G58680 ZT4 ZT12
AT3G58700 ZT20 ZT12
AT3G58670 ZT4 ZT0
AT3G58010 ZT4 ZT12
AT3G57870 ZT20 ZT8
AT3G57890 ZT16 ZT4
AT3G57880 ZT8 ZT0
AT3G58120 ZT12 ZT0
AT3G58590 ZT0 ZT8
AT3G58620 ZT12 ZT0
AT3G58070 ZT8 ZT12
AT3G58040 ZT12 ZT0
AT3G57680 ZT20 ZT8
AT3G57660 ZT0 ZT8
AT3G57630 ZT0 ZT12
AT3G57750 ZT12 ZT8
AT3G57800 ZT4 ZT0
AT3G57860 ZT16 ZT8
AT3G57940 ZT0 ZT4
AT3G57950 ZT20 ZT8
AT3G57960 ZT12 ZT8
AT3G57700 ZT20 ZT12
AT3G57340 ZT12 ZT0
AT3G57280 ZT20 ZT12
AT3G57260 ZT0 ZT12
AT3G57410 ZT12 ZT0
AT3G57430 ZT0 ZT8
AT3G57460 ZT0 ZT16
AT3G57510 ZT16 ZT4
AT3G57530 ZT8 ZT0
AT3G57490 ZT20 ZT4
AT3G57470 ZT12 ZT20
AT3G57520 ZT4 ZT0
AT3G57550 ZT8 ZT0
AT3G57540 ZT16 ZT12
AT3G57790 ZT4 ZT16
AT3G57770 ZT4 ZT20
AT3G57330 ZT8 ZT16
AT3G57360 ZT4 ZT12
AT3G57170 ZT0 ZT8
AT3G57000 ZT20 ZT8
AT3G57020 ZT16 ZT0
AT3G57090 ZT0 ZT8
AT3G57160 ZT0 ZT8
AT3G56950 ZT4 ZT12
AT3G56940 ZT16 ZT4
AT3G57040 ZT12 ZT0
AT3G57050 ZT8 ZT0
AT3G57150 ZT20 ZT4
AT3G57010 ZT16 ZT4
AT3G57190 ZT12 ZT16
AT3G57240 ZT0 ZT12
AT3G57320 ZT4 ZT0
AT3G56980 ZT4 ZT20
AT3G56990 ZT20 ZT8
AT3G57030 ZT12 ZT0
AT3G57060 ZT0 ZT8
AT3G56410 ZT4 ZT16
AT3G56460 ZT0 ZT16
AT3G56590 ZT8 ZT16
AT3G56650 ZT4 ZT20
AT3G56360 ZT8 ZT0
AT3G56400 ZT0 ZT12
AT3G56120 ZT0 ZT4
AT3G56080 ZT16 ZT4
AT3G56140 ZT12 ZT0
AT3G56200 ZT8 ZT0
AT3G56260 ZT0 ZT12
AT3G56290 ZT8 ZT0
AT3G56310 ZT8 ZT16
AT3G56330 ZT0 ZT8
AT3G56240 ZT12 ZT0
AT3G56090 ZT0 ZT12
AT3G56150 ZT20 ZT4
AT3G56070 ZT20 ZT8
AT3G56040 ZT16 ZT4
AT3G55980 ZT8 ZT0
AT3G55690 ZT16 ZT8
AT3G55710 ZT8 ZT20
AT3G55740 ZT4 ZT16
AT3G55760 ZT0 ZT8
AT3G55770 ZT12 ZT0
AT3G55630 ZT4 ZT12
AT3G55605 ZT0 ZT12
AT3G55800 ZT8 ZT20
AT3G55940 ZT0 ZT8
AT3G55950 ZT12 ZT0
AT3G56000 ZT12 ZT20
AT3G55960 ZT8 ZT0
unknown_524 ZT16 ZT4
AT3G55620 ZT20 ZT4
AT3G55260 ZT4 ZT12
AT3G55280 ZT20 ZT4
AT3G55330 ZT4 ZT20
AT3G55130 ZT16 ZT4
AT3G55410 ZT0 ZT12
AT3G55420 ZT4 ZT20
AT3G55450 ZT4 ZT12
AT3G55470 ZT4 ZT0
AT3G55580 ZT12 ZT0
AT3G55390 ZT4 ZT16
AT3G55560 ZT12 ZT0
AT3G55510 ZT0 ZT4
AT3G55440 ZT0 ZT16
AT3G55380 ZT20 ZT8
AT3G55430 ZT12 ZT0
AT3G55370 ZT8 ZT16
AT3G55480 ZT12 ZT4
AT3G55600 ZT4 ZT20
AT3G54890 ZT16 ZT8
AT3G54900 ZT16 ZT4
AT3G55040 ZT8 ZT16
AT3G55060 ZT16 ZT8
AT3G55110 ZT16 ZT4
AT3G55120 ZT8 ZT12
AT3G55010 ZT20 ZT4
AT3G55170 ZT4 ZT16
AT3G54950 ZT0 ZT12
AT3G54960 ZT0 ZT12
AT3G54560 ZT0 ZT12
AT3G54640 ZT0 ZT12
AT3G54620 ZT4 ZT20
AT3G54750 ZT0 ZT12
AT3G54790 ZT0 ZT8
AT3G54690 ZT12 ZT0
AT3G54720 ZT12 ZT4
AT3G54660 ZT12 ZT4
AT3G54810 ZT20 ZT4
AT3G54850 ZT4 ZT16
AT3G54920 ZT4 ZT0
AT3G54480 ZT8 ZT0
AT3G54500 ZT16 ZT0
AT3G54250 ZT0 ZT8
AT3G54140 ZT8 ZT0
AT3G54260 ZT4 ZT0
AT3G54380 ZT8 ZT0
AT3G54400 ZT12 ZT4
AT3G54430 ZT8 ZT0
AT3G54110 ZT4 ZT16
AT3G54120 ZT8 ZT16
AT3G54130 ZT16 ZT8
AT3G53760 ZT4 ZT20
AT3G53930 ZT8 ZT16
AT3G53800 ZT0 ZT8
AT3G53880 ZT0 ZT12
AT3G53730 ZT0 ZT12
AT3G53990 ZT0 ZT8
AT3G53920 ZT4 ZT20
AT3G53950 ZT4 ZT20
AT3G54090 ZT0 ZT12
AT3G53700 ZT20 ZT8
unknown_529 ZT0 ZT12
AT3G53430 ZT20 ZT4
AT3G53470 ZT16 ZT0
AT3G53580 ZT0 ZT12
unknown_530 ZT4 ZT16
AT3G53650 ZT20 ZT12
unknown_532 ZT4 ZT12
AT3G53680 ZT20 ZT4
AT3G53460 ZT4 ZT8
AT3G53560 ZT0 ZT12
AT3G53420 ZT16 ZT0
AT3G53100 ZT12 ZT0
AT3G53130 ZT0 ZT12
AT3G53160 ZT0 ZT16
AT3G53180 ZT20 ZT12
AT3G53230 ZT0 ZT12
AT3G53080 ZT20 ZT4
AT3G53190 ZT8 ZT12
AT3G53260 ZT8 ZT0
AT3G53220 ZT4 ZT12
AT3G52840 ZT12 ZT0
AT3G53020 ZT0 ZT12
AT3G52710 ZT0 ZT12
AT3G52750 ZT0 ZT12
AT3G52720 ZT8 ZT0
AT3G52730 ZT0 ZT12
AT3G52870 ZT0 ZT12
AT3G53000 ZT0 ZT8
AT3G52880 ZT0 ZT4
AT3G51950 ZT8 ZT0
AT3G52040 ZT0 ZT8
AT3G51920 ZT16 ZT0
AT3G52060 ZT4 ZT0
AT3G52390 ZT4 ZT16
AT3G52450 ZT8 ZT0
AT3G52580 ZT20 ZT8
AT3G52590 ZT0 ZT16
AT3G52480 ZT8 ZT0
AT3G52470 ZT8 ZT12
AT3G52430 ZT4 ZT16
